,Name,GLB ifmap(KiB),GLB filter(KiB),GLB psum(KiB),GLB total(KiB),MACs (G),GLB access (MiB),Dram access (MiB),n,e,r,q,p,t,m,rt,latency
134,Alexnet.conv3,5.2734375,1.6875,21.125,28.0859375,0.603193344,24.35791015625,1.31103515625,4,13,2,3,16,2,32,0,428190720.0
135,Alexnet.conv3,5.2734375,0.84375,21.125,27.2421875,0.603193344,26.99462890625,1.31103515625,4,13,2,3,16,1,32,0,444779520.0
136,Alexnet.conv3,5.2734375,0.84375,21.125,27.2421875,0.605749248,26.99462890625,1.31103515625,4,13,3,2,16,1,32,0,444779520.0
137,Alexnet.conv3,3.515625,2.25,21.125,26.890625,0.601915392,33.60205078125,1.31103515625,4,13,1,4,16,4,32,0,486349824.0
138,Alexnet.conv3,14.0625,2.25,10.5625,26.875,0.601915392,13.79150390625,1.31103515625,4,13,4,4,16,1,16,0,361712640.0
139,Alexnet.conv3,3.515625,1.6875,21.125,26.328125,0.601915392,34.04150390625,1.31103515625,4,13,1,4,16,3,32,0,489114624.0
140,Alexnet.conv3,3.515625,1.125,21.125,25.765625,0.605749248,34.92041015625,1.31103515625,4,13,2,2,16,2,32,0,494644224.0
141,Alexnet.conv3,3.515625,1.125,21.125,25.765625,0.601915392,34.92041015625,1.31103515625,4,13,1,4,16,2,32,0,494644224.0
142,Alexnet.conv3,2.63671875,1.6875,21.125,25.44921875,0.603193344,44.16455078125,1.31103515625,4,13,1,3,16,4,32,0,552803328.0
143,Alexnet.conv3,3.515625,0.5625,21.125,25.203125,0.605749248,37.55712890625,1.31103515625,4,13,2,2,16,1,32,0,511233024.0
144,Alexnet.conv3,3.515625,0.5625,21.125,25.203125,0.601915392,37.55712890625,1.31103515625,4,13,1,4,16,1,32,0,511233024.0
145,Alexnet.conv3,3.515625,0.5625,21.125,25.203125,0.61341696,37.55712890625,1.31103515625,4,13,4,1,16,1,32,0,511233024.0
146,Alexnet.conv3,2.63671875,1.265625,21.125,25.02734375,0.603193344,44.60400390625,1.31103515625,4,13,1,3,16,3,32,0,555568128.0
147,Alexnet.conv3,2.63671875,0.84375,21.125,24.60546875,0.603193344,45.48291015625,1.31103515625,4,13,1,3,16,2,32,0,561097728.0
148,Alexnet.conv3,2.63671875,0.421875,21.125,24.18359375,0.603193344,48.11962890625,1.31103515625,4,13,1,3,16,1,32,0,577686528.0
149,Alexnet.conv3,2.63671875,0.421875,21.125,24.18359375,0.61341696,48.11962890625,1.31103515625,4,13,3,1,16,1,32,0,577686528.0
150,Alexnet.conv3,1.7578125,1.125,21.125,24.0078125,0.605749248,65.28955078125,1.31103515625,4,13,1,2,16,4,32,0,685710336.0
151,Alexnet.conv3,1.7578125,0.84375,21.125,23.7265625,0.605749248,65.72900390625,1.31103515625,4,13,1,2,16,3,32,0,688475136.0
152,Alexnet.conv3,1.7578125,0.5625,21.125,23.4453125,0.61341696,66.60791015625,1.31103515625,4,13,2,1,16,2,32,0,694004736.0
